MODEL,CONSTRUCTION_LEVEL,DATE END,REMARKS,NQ,COST CENTER,TYPE_AUDIT_DESC,PART_DESC,DEF_DESC,Cluster,REMARKS_Column1_Similarity
RWD,Serie,19-Sep-22,Chrome trim of radiator grille partially loose.,1,Supply,CPA,"Trim piece, radiator grille",lose,Chrome trim of radiator grille partially loose.,1
RWD,Serie,19-Sep-22,Paint chip on front left fender near driver door.,1,TR4ST9,CPA,"Fender, front, left",Abplatzung (Lack),Paint chip on front left fender near driver door.,1
RWD,Serie,3-Nov-22,Windshield washer fluid hose on front left side of engine compartment not zip tied.,1,TR2ST4,CPA,"Hose, windshield washing system",nicht gesichert,Windshield washer fluid hose on front left side of engine compartment not zip tied.,1
RWD,Serie,15-Oct-22,PVC poorly painted on bottom inside left sidewall.,1,SEAM06,CPA,"Sidewall, left, inner",PVC schlecht verstrichen,PVC poorly painted on bottom inside left sidewall.,1
RWD,Serie,28-Sep-22,Front left door entrance protective foil starting to peel up at the corner.,1,TR3ST5,CPA,"Entrance, front door, left",Bearbeitungsfehler,Front left door entrance protective foil starting to peel up at the corner.,1
RWD,Serie,2-Nov-22,Lower door lock screws on inside of left rear door not touched up after door adjustment.,1,FINST3,CPA,"Rear-end door, left, inside",Bearbeitungsfehler,Lower door lock screws on inside of left rear door not touched up after door adjustment.,1
RWD,Serie,14-Oct-22,Right sliding door middle panel has minor damage.,1,SDPA,CPA,"Sliding door, right, inner",besch??digt,Right sliding door middle panel has minor damage.,1
RWD,Serie,14-Oct-22,Rear brake line not secured in clip on underbody.,1,TR2ST7,CPA,Brake line rear (hydraulics),nicht gesichert,Rear brake line not secured in clip on underbody.,1
RWD,Serie,15-Sep-22,Dent in on right sidewall near sliding door and protective strip.,1,Z2SOUTRH,CPA,"Sidewall, right",Delle,Dent in on right sidewall near sliding door and protective strip.,1
RWD,Serie,15-Sep-22,Front left door entrance protective foil starting to peel up at the corner.,1,TR3ST5,CPA,"Entrance, front door, left",Bearbeitungsfehler,Front left door entrance protective foil starting to peel up at the corner.,1
RWD,Serie,15-Sep-22,Windshield adhesive on front right hood hinge.,1,TR4ST2,CPA,"Hinge, right, engine hood",Klebereste,Windshield adhesive on front right hood hinge.,1
RWD,Serie,14-Oct-22,Front left door entrance protective foil starting to peel up at the corner.,1,TR3ST5,CPA,"Entrance, front door, left",Bearbeitungsfehler,Front left door entrance protective foil starting to peel up at the corner.,1
RWD,Serie,14-Oct-22,Front left door entrance protective foil starting to peel up at the corner.,1,TR3ST5,CPA,"Entrance, front door, left",Bearbeitungsfehler,Front left door entrance protective foil starting to peel up at the corner.,1
RWD,Serie,27-Sep-22,Wooden floor damaged near rear right wheel well.,1,TR1ST3,CPA,"Wooden floor, rear, cargo area",besch??digt,Wooden floor damaged near rear right wheel well.,1
RWD,Serie,14-Sep-22,Paint chip on lower rear right sidewall near sliding door.,1,TR3ST2,CPA,"Sidewall, right",Abplatzung (Lack),Paint chip on lower rear right sidewall near sliding door.,1
RWD,Serie,14-Sep-22,Front right seat cushion foam is exposed when seat is laid back.,1,Supply,CPA,"Seat cushion, front seat, right",Bearbeitungsfehler,Front right seat cushion foam is exposed when seat is laid back.,1
RWD,Serie,1-Nov-22,Tabs not installed properly at top left rear entrance.,1,Supply,CPA,Rear entrance,besch??digt,Tabs not installed properly at top left rear entrance.,1
RWD,Serie,1-Nov-22,Adhesive residue on rear inside right sidewall.,1,Z2SINNRH,CPA,"Sidewall, right, inner",Klebereste,Adhesive residue on rear inside right sidewall.,1
RWD,Serie,28-Oct-22,Surface damage on lower right side of front bumper.,1,CHAST6,CPA,Front bumper,besch??digt,Surface damage on lower right side of front bumper.,1
RWD,Serie,12-Oct-22,Sound dampener damaged in cargo area at the top.,1,SEAM06,CPA,"Rear section, soundproofing",besch??digt,Sound dampener damaged in cargo area at the top.,1
RWD,Serie,12-Oct-22,Dent on bottom outside left door.,1,PDRBIW,CPA,"Front door, left",Beule,Dent on bottom outside left door.,1
RWD,Serie,12-Oct-22,Bottom of front right triangle window seal not installed properly.,1,FDPA1,CPA,"Sealing frame/bonding, triangular side window, A-pillar, right",Einbaulage fehlerhaft,Bottom of front right triangle window seal not installed properly.,1
RWD,Serie,26-Sep-22,Paint chip at right edge of engine hood.,1,FINST1,CPA,Engine hood,Abplatzung (Lack),Paint chip at right edge of engine hood.,1
RWD,Serie,26-Sep-22,Dent on left sidewall by taillight.,1,Z2SOUTLH,CPA,"Sidewall, left",Delle,Dent on left sidewall by taillight.,1
RWD,Serie,26-Sep-22,Rubber weather strip on cargo floor by sliding door entrance not installed correctly.,1,TR1ST3,CPA,Cargo area floor,Einbaulage fehlerhaft,Rubber weather strip on cargo floor by sliding door entrance not installed correctly.,1
RWD,Serie,13-Sep-22,Dent on bottom rear inside right D-pillar.,1,TR1ST3,CPA,D-pillar,Delle,Dent on bottom rear inside right D-pillar.,1
RWD,Serie,13-Sep-22,Front right floor mat has minor damage.,1,TR4ST7,CPA,"Floor mat, front, right",besch??digt,Front right floor mat has minor damage.,1
RWD,Serie,13-Sep-22,Weld splatter on rear inside right wheel well.,1,Z1UNDT1,CPA,"Wheel well, rear, right",Minor weld fault,Weld splatter on rear inside right wheel well.,1
RWD,Serie,13-Sep-22,Top of rear left door leak coming from behind apex seal.,1,TR1ST1,CPA,"Rear-end door, left, inside",undicht,Top of rear left door leak coming from behind apex seal.,1
RWD,Serie,13-Sep-22,Front left door entrance protective foil starting to peel up at the corner.,1,TR3ST5,CPA,"Entrance, front door, left",Bearbeitungsfehler,Front left door entrance protective foil starting to peel up at the corner.,1
RWD,Serie,13-Sep-22,Engine EVAP hose loose.,1,CHAST5,CPA,Engine compartment,lose,Engine EVAP hose loose.,1
RWD,Serie,24-Sep-22,Cargo area wireway cover on left sidewall not installed properly.,1,TR3ST1,CPA,Trunk/cargo area,Einbaulage fehlerhaft,Cargo area wireway cover on left sidewall not installed properly.,1
RWD,Serie,28-Oct-22,Engine hood release cable not clipped to fem properly.,1,CHAST6,CPA,Engine hood cable - engine hood catch,lose,Engine hood release cable not clipped to fem properly.,1
RWD,Serie,28-Oct-22,Top of rear left door leak coming from behind apex seal.,1,TR1ST1,CPA,"Rear-end door, left, inside",undicht,Top of rear left door leak coming from behind apex seal.,1
RWD,Serie,28-Oct-22,Front right door seal wavy along A-Pillar trim.,1,EVS,CPA,"Sealing frame, front door, right",wellig,Front right door seal wavy along A-Pillar trim.,1
RWD,Serie,28-Oct-22,Right side cargo sidewall panel damaged.,1,TR3ST1,CPA,"Panel, sidewall, right",besch??digt,Right side cargo sidewall panel damaged.,1
RWD,Serie,27-Oct-22,Dent on bottom left sidewall near taillight and protective strip.,1,Z2SCOMLH,CPA,"Sidewall, left",Delle,Dent on bottom left sidewall near taillight and protective strip.,1
RWD,Serie,24-Sep-22,Paint chip on inner left B-pillar near abutting wedge.,1,TR4ST9,CPA,"B-pillar, left, inner",Abplatzung (Lack),Paint chip on inner left B-pillar near abutting wedge.,1
RWD,Serie,12-Sep-22,Inner sliding door leak coming in from behind lower panel.,1,SDPA,CPA,"Sliding door, right, inner",undicht,Inner sliding door leak coming in from behind lower panel.,1
RWD,Serie,27-Oct-22,Left side cargo wall dented.,1,Z2SINNLH,CPA,"Sidewall, left, inner",Delle,Left side cargo wall dented.,1
RWD,Serie,10-Oct-22,White paint on bottom rear left door hinge.,1,FINST3,CPA,"Hinge, left, lower, rear-end door/liftgate",Bearbeitungsfehler,White paint on bottom rear left door hinge.,1
RWD,Serie,13-Dec-22,Rubber seal around engine compartment not positioned properly.,1,TR3ST4,CPA,"Seal, engine hood",Spalt zu gro??,Rubber seal around engine compartment not positioned properly.,1
RWD,Serie,15-Nov-22,Outer rear right sidewall dent.,1,Z2SCOMRH,CPA,"Sidewall, right",Beule,Outer rear right sidewall dent.,1
RWD,Serie,15-Nov-22,Front right side of center floor mat not installed properly against seat box.,1,TR4ST7,CPA,"Floor mat, front, right",Einbaulage fehlerhaft,Front right side of center floor mat not installed properly against seat box.,1
RWD,Serie,15-Nov-22,"Left side of battery box cover, information label is wrinkled.",1,TR4ST8,CPA,Information label battery,faltig,"Left side of battery box cover, information label is wrinkled.",1
RWD,Serie,15-Nov-22,Paint chip on front side of driver seat box.,1,TR4ST8,CPA,"Seat base, front seat, left",Abplatzung (Lack),Paint chip on front side of driver seat box.,1
RWD,Serie,8-Dec-22,Clip damaged on right sidewall protective strip at the C-Pillar.,1,TR4ST6,CPA,"Protective strip, sidewall, right",Clip/D??bel besch??digt,Clip damaged on right sidewall protective strip at the C-Pillar.,1
RWD,Serie,7-Dec-22,Front left door entrance protective foil starting to peel up at the corner.,1,TR3ST5,CPA,"Entrance, front door, left",Bearbeitungsfehler,Front left door entrance protective foil starting to peel up at the corner.,1
RWD,Serie,14-Nov-22,Dent out on right sidewall by sliding door.,1,Z2SOUTRH,CPA,"Sidewall, right",Beule,Dent out on right sidewall by sliding door.,1
RWD,Serie,14-Nov-22,Rear brake line not secured in clip on underbody.,1,TR2ST7,CPA,Brake line rear (hydraulics),nicht gesichert,Rear brake line not secured in clip on underbody.,1
RWD,Serie,8-Mar-23,Windshield washer fluid hose not secured in engine compartment.,1,TR2ST4,CPA,"Hose, windshield washing system",nicht gesichert,Windshield washer fluid hose not secured in engine compartment.,1
RWD,Serie,3-Feb-23,Waviness in the paint on front left seat box.,1,BCCOAT,CPA,"Paint, seat base, front seat, left",wellig,Waviness in the paint on front left seat box.,1
RWD,Serie,3-Dec-22,Front left and right grill trim not clipped in properly.,1,RWKST1,CPA,"Trim piece, radiator grille",nicht gesichert,Front left and right grill trim not clipped in properly.,1
RWD,Serie,3-Dec-22,Screw on the rear trailer hitch is not flush.,1,TR5ST1,CPA,Trailer hitch,nicht gesichert,Screw on the rear trailer hitch is not flush.,1
RWD,Serie,3-Dec-22,Leak at left sidewall.,1,TR4ST6,CPA,"Sidewall, left",undicht,Leak at left sidewall.,1
RWD,Serie,8-Mar-23,Front outer left air vent not installed correctly.  Vent not in correct orientation when adjustment wheel is completely opened or closed.,1,PACST4,CPA,"Air vent, front, outer, left",Einbaulage fehlerhaft,Front outer left air vent not installed correctly.  Vent not in correct orientation when adjustment wheel is completely opened or closed.,1
RWD,Serie,3-Feb-23,Rear door entrance seal and D-pillar trim gap too large.,1,TR4ST7,CPA,"Trim, D-pillar",Spalt zu gro??,Rear door entrance seal and D-pillar trim gap too large.,1
RWD,Serie,1-Dec-22,Front right door seal wavy along A-Pillar trim.,1,EVS,CPA,"Sealing frame, front door, right",wellig,Front right door seal wavy along A-Pillar trim.,1
RWD,Serie,17-Feb-23,Right side of automatic air conditioning unit not clipped in.,1,PACST3,CPA,"Operating unit, automatic air conditioning",nicht gesichert,Right side of automatic air conditioning unit not clipped in.,1
RWD,Serie,31-Jan-23,In-dent on inside left side C-pillar.,1,Z2SINNLH,CPA,"C-pillar, left, inner",Delle,In-dent on inside left side C-pillar.,1
RWD,Serie,31-Jan-23,Support bracket on inner right sidewall dented out.,1,Z2SINNRH,CPA,"Sidewall, right, inner",Beule,Support bracket on inner right sidewall dented out.,1
RWD,Serie,31-Jan-23,,1,FINST3,CPA,"Sidewall, right, inner",Nacharbeit sichtbar,,1
RWD,Serie,31-Jan-23,Right side of front bumper damaged at headlight and fender.,1,CHAST6,CPA,Front bumper,besch??digt,Right side of front bumper damaged at headlight and fender.,1
RWD,Serie,30-Nov-22,Rivets on bottom front right door panel not flush.,1,FDPA3,CPA,"Door trim, front door, right",Bearbeitungsfehler,Rivets on bottom front right door panel not flush.,1
RWD,Serie,30-Nov-22,Front left door entrance protective foil starting to peel up at the corner.,1,TR3ST5,CPA,"Entrance, front door, left",Bearbeitungsfehler,Front left door entrance protective foil starting to peel up at the corner.,1
RWD,Serie,30-Jan-23,Rear LED cargo lights rivets not removed.,1,TR3ST6,CPA,Interior lamp,Bearbeitungsfehler,Rear LED cargo lights rivets not removed.,1
RWD,Serie,15-Feb-23,ECU connector locking clip not secured.,1,CHAST4,CPA,Engine harness,lose,ECU connector locking clip not secured.,1
RWD,Serie,15-Feb-23,Dent in on lower front left door.,1,Z3DMOUN,CPA,"Front door, left",Delle,Dent in on lower front left door.,1
RWD,Serie,22-Nov-22,Rear of front right seat box has excessive PVC at the bottom.,1,SEAM05,CPA,"Seat base, front seat, right",Klebereste,Rear of front right seat box has excessive PVC at the bottom.,1
RWD,Serie,22-Nov-22,Windshield washer fluid hose not secured in engine compartment.,1,TR2ST4,CPA,"Hose, windshield washing system",nicht gesichert,Windshield washer fluid hose not secured in engine compartment.,1
RWD,Serie,2-Mar-23,Front right door window guide seal not installed properly.,1,FDPA3,CPA,"Window guide seal, front door, right",Einbaulage fehlerhaft,Front right door window guide seal not installed properly.,1
RWD,Serie,22-Nov-22,Front right door seal wavy along A-Pillar trim.,1,EVS,CPA,"Sealing frame, front door, right",wellig,Front right door seal wavy along A-Pillar trim.,1
RWD,Serie,21-Nov-22,Dent out on right sidewall by sliding door.,1,Z2SCOMRH,CPA,"Sidewall, right",Beule,Dent out on right sidewall by sliding door.,1
RWD,Serie,25-Jan-23,Cargo floor at the sliding door entrance has paint on it.,1,TR1ST3,CPA,Cargo area floor,Bearbeitungsfehler,Cargo floor at the sliding door entrance has paint on it.,1
RWD,Serie,23-Jan-23,Right side front wheel well missing a pushpin.,1,CHAST9,CPA,"Wheel well, front, right",fehlt,Right side front wheel well missing a pushpin.,1
RWD,Serie,23-Jan-23,Rear LED cargo lights rivets not removed.,1,TR3ST6,CPA,Interior lamp,Bearbeitungsfehler,Rear LED cargo lights rivets not removed.,1
RWD,Serie,19-Nov-22,Dent on rear outside right sidewall.,1,Z2SOUTRH,CPA,"Sidewall, right",Delle,Dent on rear outside right sidewall.,1
RWD,Serie,19-Nov-22,Front inside left parking brake wire not wrapped fully or positioned under floor mat properly.,1,TR3ST3,CPA,Parking brake,Bearbeitungsfehler,Front inside left parking brake wire not wrapped fully or positioned under floor mat properly.,1
RWD,Serie,19-Nov-22,Fault on bottom left edge of rear right door.,1,Z3REDOOR,CPA,"Rear-end door, right",Bearbeitungsfehler,Fault on bottom left edge of rear right door.,1
RWD,Serie,21-Nov-22,Dent in on upper rear left and rear right door.,1,Z3REDOOR,CPA,"Rear-end door, left",Delle,Dent in on upper rear left and rear right door.,1
RWD,Serie,19-Nov-22,Top rear corner of middle sliding door trim damaged.,1,SDPA,CPA,"Door trim, sliding door, right",besch??digt,Top rear corner of middle sliding door trim damaged.,1
RWD,Serie,28-Feb-23,Screw cover missing on inside grab handle of left front door panel.,1,FDPA3,CPA,"Cover, door trim, front door, left",fehlt,Screw cover missing on inside grab handle of left front door panel.,1
RWD,Serie,9-Feb-23,Dent in on the outside right rear door.,1,Z3REDOOR,CPA,"Rear-end door, right",Delle,Dent in on the outside right rear door.,1
RWD,Serie,9-Feb-23,Inner sliding door VA3 panel damaged.,1,SDPA,CPA,"Sliding door, right, inner",besch??digt,Inner sliding door VA3 panel damaged.,1
RWD,Serie,19-Jan-23,Inner sliding door leak coming in from behind lower panel.,1,SDPA,CPA,"Sliding door, right, inner",undicht,Inner sliding door leak coming in from behind lower panel.,1
RWD,Serie,19-Jan-23,Lower door lock screws on inside of left rear door not touched up after door adjustment.,1,FINST3,CPA,"Rear-end door, left, inside",Bearbeitungsfehler,Lower door lock screws on inside of left rear door not touched up after door adjustment.,1
RWD,Serie,17-Nov-22,Rework visible around screws for fuel door,1,TR2ST1,CPA,Fuel filler flap,Nacharbeit sichtbar,Rework visible around screws for fuel door,1
RWD,Serie,18-Nov-22,Windshield washer fluid hose not secured in engine compartment.,1,TR2ST4,CPA,"Hose, windshield washing system",nicht gesichert,Windshield washer fluid hose not secured in engine compartment.,1
RWD,Serie,18-Jan-23,Rear axle vent tube not connected to rear axle.,1,CHAST9,CPA,"Vent line, rear axle housing",nicht angeschlossen,Rear axle vent tube not connected to rear axle.,1
RWD,Serie,14-Dec-22,Paint chip on inner right A-pillar.,1,TR4ST9,CPA,"A-pillar, right, inner",Abplatzung (Lack),Paint chip on inner right A-pillar.,1
RWD,Serie,14-Dec-22,Excessive PVC on cargo floor at sliding door entrance.,1,SEAM05,CPA,Cargo area floor,PVC-Schichtdicke unter Toleranz,Excessive PVC on cargo floor at sliding door entrance.,1
RWD,Serie,14-Dec-22,Rear inside right sliding door panel damaged at the edge.,1,TR3ST2,CPA,"Sliding door, right, inner",besch??digt,Rear inside right sliding door panel damaged at the edge.,1
RWD,Serie,14-Dec-22,Lower door lock screws on inside of left rear door not touched up after door adjustment.,1,FINST3,CPA,"Rear-end door, left, inside",Bearbeitungsfehler,Lower door lock screws on inside of left rear door not touched up after door adjustment.,1
RWD,Serie,13-Dec-22,Rivets on bottom front right door panel not flush.,1,FDPA3,CPA,"Door trim, front door, right",Bearbeitungsfehler,Rivets on bottom front right door panel not flush.,1
RWD,Serie,16-Nov-22,Dent in on rear right sidewall near tailight.,1,Z2SOUTRH,CPA,"Sidewall, right",Delle,Dent in on rear right sidewall near tailight.,1
RWD,Serie,16-Nov-22,Left side cargo wall dented.,1,Z2SINNLH,CPA,"Sidewall, left, inner",Delle,Left side cargo wall dented.,1
RWD,Serie,24-Aug-22,Excessive anti-flutter material/glue on right side cargo wall.,1,Z2SINNRH,CPA,"Sidewall, right, inner",Klebereste,Excessive anti-flutter material/glue on right side cargo wall.,1
RWD,Serie,24-Aug-22,Bottom of left triangular side window seal wavy.,1,FDPA1,CPA,"Sealing frame/bonding, triangular side window, A-pillar, left",wellig,Bottom of left triangular side window seal wavy.,1
RWD,Serie,8-Sep-22,Front left door entrance protective foil starting to peel up at the corner.,1,TR3ST5,CPA,"Entrance, front door, left",Bearbeitungsfehler,Front left door entrance protective foil starting to peel up at the corner.,1
RWD,Serie,8-Sep-22,Top of rear left door leak coming from behind apex seal.,1,TR1ST1,CPA,"Rear-end door, left, inside",undicht,Top of rear left door leak coming from behind apex seal.,1
RWD,Serie,23-Aug-22,Right side sun visor making contact with shelf when lowering and raising sun visor.  Contact also causes noise when moving sun visor.,1,TR3ST7,CPA,Sun visor right,liegt an,Right side sun visor making contact with shelf when lowering and raising sun visor.  Contact also causes noise when moving sun visor.,1
RWD,Serie,23-Aug-22,Front left sidewall sound dampener damaged.,1,SEAM06,CPA,"Soundproofing, left, trunk/cargo area",besch??digt,Front left sidewall sound dampener damaged.,1
RWD,Serie,2-Sep-22,Bottom of left triangular side window seal wavy.,1,FDPA1,CPA,"Sealing frame/bonding, triangular side window, A-pillar, left",wellig,Bottom of left triangular side window seal wavy.,1
RWD,Serie,1-Sep-22,Engine EVAP hose loose.,1,CHAST5,CPA,Engine compartment,lose,Engine EVAP hose loose.,1
RWD,Serie,1-Sep-22,Inner sliding door panel damaged.,1,TR3ST2,CPA,"Sliding door, right, inner",besch??digt,Inner sliding door panel damaged.,1
RWD,Serie,19-Aug-22,Top left rear entrance has excessive adhesive residue.,1,Z3UPP01,CPA,Rear entrance,Klebereste,Top left rear entrance has excessive adhesive residue.,1
RWD,Serie,30-Aug-22,Dent in on right sidewall near sliding door and protective strip.,1,Z2SOUTRH,CPA,"Sidewall, right",Delle,Dent in on right sidewall near sliding door and protective strip.,1
RWD,Serie,29-Aug-22,Sealant around cargo area roof windows not tooled properly.,1,Z2BPASSY,CPA,"Window, roof",Nahtabdichtung schwarz unsauber,Sealant around cargo area roof windows not tooled properly.,1
RWD,Serie,29-Aug-22,"Front left door window guide seal not installed correctly, not flush against frame.",1,FDPA1,CPA,"Window guide seal, front door, left",Einbaulage fehlerhaft,"Front left door window guide seal not installed correctly, not flush against frame.",1
RWD,Serie,16-Aug-22,Paint chipped on bottom front right door hinge.,1,TR4ST9,CPA,"Hinge, lower, front door, right",Abplatzung (Lack),Paint chipped on bottom front right door hinge.,1
RWD,Serie,27-Aug-22,Engine EVAP hose loose.,1,CHAST5,CPA,Engine compartment,lose,Engine EVAP hose loose.,1
RWD,Serie,10-Aug-22,Dent on  rear right sidewall at wheel well arch.,1,Z2SCOMRH,CPA,"Sidewall, right",Beule,Dent on  rear right sidewall at wheel well arch.,1
RWD,Serie,10-Aug-22,Front left sidewall sound dampener damaged.,1,SEAM06,CPA,"Soundproofing, left, trunk/cargo area",besch??digt,Front left sidewall sound dampener damaged.,1
RWD,Serie,9-Aug-22,Crank case vent line not tucked under right side valve cover.,1,EPAST1,CPA,"Bleed line, engine",falsch verlegt,Crank case vent line not tucked under right side valve cover.,1
RWD,Serie,9-Aug-22,Body glue on inside of cargo roof at front,1,Z3UPP01,CPA,High roof,Klebereste,Body glue on inside of cargo roof at front,1
RWD,Serie,9-Aug-22,Damaged sound dampener on front section in cargo area.,1,SEAM06,CPA,"Front section, soundproofing",besch??digt,Damaged sound dampener on front section in cargo area.,1
RWD,Serie,6-Oct-23,Paint inclusion on outer left B-pillar near rescue card.,1,FININSPE,CPA,"B-pillar, left",Staub-/Schmutzeinschluss (Lack),Paint inclusion on outer left B-pillar near rescue card.,1
RWD,Serie,5-Oct-23,Excessive seam sealant on inner rear left wheel well.,1,FININSPE,CPA,"Wheel well, rear, inner, left",Klebereste,Excessive seam sealant on inner rear left wheel well.,1
RWD,Serie,10-Oct-23,Small paint inclusion on rear left door.,1,FININSPE,CPA,"Rear-end door, left",Staub-/Schmutzeinschluss (Lack),Small paint inclusion on rear left door.,1
RWD,Serie,4-Oct-23,Paint inclusion on bottom rear right door.,1,FININSPE,CPA,"Rear-end door, right",Staub-/Schmutzeinschluss (Lack),Paint inclusion on bottom rear right door.,1
RWD,Serie,22-Sep-23,Paint inclusion on outer left B-pillar near rescue card.,1,FININSPE,CPA,"B-pillar, left",Staub-/Schmutzeinschluss (Lack),Paint inclusion on outer left B-pillar near rescue card.,1
RWD,Serie,25-Sep-23,Paint inclusion on the rear side of the right seat box.,1,FININSPE,CPA,"Seat base, front seat, right",Staub-/Schmutzeinschluss (Lack),Paint inclusion on the rear side of the right seat box.,1
RWD,Serie,29-Aug-23,Paint inclusion on left side of driver seat box.,1,FININSPE,CPA,"Seat base, front seat, left",Staub-/Schmutzeinschluss (Lack),Paint inclusion on left side of driver seat box.,1
RWD,Serie,25-Aug-23,"Paint damage on right front door at door lock, due to jig used by paint shop.",1,FININSPE,CPA,"Paint, front door, right, inner",besch??digt,"Paint damage on right front door at door lock, due to jig used by paint shop.",1
RWD,Serie,25-Aug-23,Paint blister is on the front right seat box rear side.,1,FININSPE,CPA,"Seat base, front seat, right",Bl??schen (Lack),Paint blister is on the front right seat box rear side.,1
RWD,Serie,17-Aug-23,"Paint damage on right front door at door lock, due to jig used by paint shop.",1,FININSPE,CPA,"Paint, front door, right, inner",besch??digt,"Paint damage on right front door at door lock, due to jig used by paint shop.",1
RWD,Serie,17-Aug-23,Paint inclusion on inside of fuel door at bottom corner.,1,FININSPE,CPA,Fuel filler flap,Staub-/Schmutzeinschluss (Lack),Paint inclusion on inside of fuel door at bottom corner.,1
RWD,Serie,22-Aug-23,"Paint damage on right front door at door lock, due to jig used by paint shop.",1,FININSPE,CPA,"Paint, front door, right, inner",besch??digt,"Paint damage on right front door at door lock, due to jig used by paint shop.",1
RWD,Serie,10-Aug-23,Paint inclusion on the rear side of the right seat box.,1,FININSPE,CPA,"Seat base, front seat, right",Staub-/Schmutzeinschluss (Lack),Paint inclusion on the rear side of the right seat box.,1
RWD,Serie,4-Aug-23,"Paint damage on right front door at door lock, due to jig used by paint shop.",1,FININSPE,CPA,"Paint, front door, right, inner",besch??digt,"Paint damage on right front door at door lock, due to jig used by paint shop.",1
RWD,Serie,4-Aug-23,Paint damaged on left front door at door lock assembly from jig used in paint shop.,1,FININSPE,CPA,"Paint, front door, left, inner",besch??digt,Paint damaged on left front door at door lock assembly from jig used in paint shop.,1
RWD,Serie,1-Aug-23,"Paint damage on right front door at door lock, due to jig used by paint shop",1,FININSPE,CPA,"Paint, front door, right, inner",besch??digt,"Paint damage on right front door at door lock, due to jig used by paint shop.",1
RWD,Serie,2-Aug-23,"Paint damage on right front door at door lock, due to jig used by paint shop",1,FININSPE,CPA,"Paint, front door, right, inner",besch??digt,"Paint damage on right front door at door lock, due to jig used by paint shop.",1
RWD,Serie,26-Jul-23,Paint damaged on front left door at door lock assembly.,1,FININSPE,CPA,"Paint, front door, left, inner",besch??digt,Paint damaged on front left door at door lock assembly.,1
RWD,Serie,17-Jul-23,Paint damaged on front left door at door lock assembly.,1,FININSPE,CPA,"Paint, front door, left, inner",besch??digt,Paint damaged on front left door at door lock assembly.,1
RWD,Serie,24-Jul-23,"Paint damage on right front door at door lock, due to jig used by paint shop",1,FININSPE,CPA,"Paint, front door, right, inner",besch??digt,"Paint damage on right front door at door lock, due to jig used by paint shop.",1
RWD,Serie,19-Jul-23,Paint inclusion on left side of driver seat box.,1,FININSPE,CPA,"Seat base, front seat, left",Staub-/Schmutzeinschluss (Lack),Paint inclusion on left side of driver seat box.,1
RWD,Serie,27-Jun-23,Paint damaged on front left door at door lock assembly.,1,FININSPE,CPA,"Paint, front door, left, inner",besch??digt,Paint damaged on front left door at door lock assembly.,1
RWD,Serie,11-Jul-23,Paint inclusion on the rear side of the right seat box.,1,FININSPE,CPA,"Seat base, front seat, right",Staub-/Schmutzeinschluss (Lack),Paint inclusion on the rear side of the right seat box.,1
RWD,Serie,24-Jun-23,Paint run on upper right D-pillar.,1,FININSPE,CPA,D-pillar,L??ufer (Lack),Paint run on upper right D-pillar.,1
RWD,Serie,22-Jun-23,Paint damaged on left front door at door lock assembly from jig used in paint shop.,1,FININSPE,CPA,"Paint, front door, left, inner",besch??digt,Paint damaged on left front door at door lock assembly from jig used in paint shop.,1
RWD,Serie,22-Jun-23,Paint damaged on left front door at door lock assembly from jig used in paint shop,1,FININSPE,CPA,"Paint, front door, right, inner",Abplatzung (Lack),Paint damaged on left front door at door lock assembly from jig used in paint shop.,1
RWD,Serie,22-Jun-23,Paint inclusion on the front of the passenger bench seat base.,1,FININSPE,CPA,"Paint, seat base, front passenger bench seat",Staub-/Schmutzeinschluss (Lack),Paint inclusion on the front of the passenger bench seat base.,1
RWD,Serie,23-Jun-23,"Paint damage on right front door at door lock, due to jig used by paint shop.",1,FININSPE,CPA,"Paint, front door, right, inner",besch??digt,"Paint damage on right front door at door lock, due to jig used by paint shop.",1
RWD,Serie,21-Jun-23,Errant PVC seam seal on right side cargo wall.,1,FININSPE,CPA,"Sidewall, right, inner",Klebereste,Errant PVC seam seal on right side cargo wall.,1
RWD,Serie,16-Jun-23,Paint damaged on left front door at door lock assembly from jig used in paint shop.,1,FININSPE,CPA,"Paint, front door, left, inner",besch??digt,Paint damaged on left front door at door lock assembly from jig used in paint shop.,1
RWD,Serie,4-Apr-23,Paint damaged on front left door at door lock assembly.,1,FININSPE,CPA,"Paint, front door, left, inner",besch??digt,Paint damaged on front left door at door lock assembly.,1
RWD,Serie,14-Apr-23,"Paint damage on right front door at door lock, due to jig used by paint shop.",1,FININSPE,CPA,"Paint, front door, right, inner",besch??digt,"Paint damage on right front door at door lock, due to jig used by paint shop.",1
RWD,Serie,14-Apr-23,"Paint damage on right front door at door lock, due to jig used by paint shop.",1,FININSPE,CPA,"Paint, front door, right, inner",besch??digt,"Paint damage on right front door at door lock, due to jig used by paint shop.",1
RWD,Serie,14-Apr-23,Paint damaged on left front door at door lock assembly from jig used in paint shop.,1,FININSPE,CPA,"Paint, front door, left, inner",besch??digt,Paint damaged on left front door at door lock assembly from jig used in paint shop.,1
RWD,Serie,3-Apr-23,Paint damaged on left front door at door lock assembly from jig used in paint shop.,1,FININSPE,CPA,"Paint, front door, left, inner",besch??digt,Paint damaged on left front door at door lock assembly from jig used in paint shop.,1
