MODEL,CONSTRUCTION_LEVEL,DATE END,REMARKS,NQ,COST CENTER,PNR,TYPE_AUDIT_DESC,PART_DESC,SFARTNR,TURN,Cluster,REMARKS_Column1_Similarity
RWD,Serie,14-Aug-23,Rear wireway cover at the rear door is not flush.,1,TR3ST1,93826170,CPA,Trunk/cargo area,42U,A,Rear wireway cover at the rear door is not flush.,1
RWD,Serie,7-Aug-23,Bottom front right air dam flushness not ok.,1,CHAST6,93824696,CPA,"Air deflector, right, radiator",42U,C,Bottom front right air dam flushness not ok.,1
RWD,Serie,1-Aug-23,Bottom front right air dam flushness not ok.,1,CHAST6,93838878,CPA,"Air deflector, right, radiator",42U,C,Bottom front right air dam flushness not ok.,1
RWD,Serie,1-Aug-23,Cover for FF8-Accessory slot not flush with headliner.,1,TR3ST6,93838878,CPA,"Stowage compartment, headliner",42U,C,Cover for FF8-Accessory slot not flush with headliner.,1
RWD,Serie,4-Aug-23,Rear right headliner flushness not ok.,1,TR3ST6,93832392,CPA,"Headliner, rear, upper",42U,C,Rear right headliner flushness not ok.,1
RWD,Serie,3-Aug-23,Front inside left door panel flushness not ok.,1,FDPA3,93833911,CPA,"Door trim, front door, left",42U,,Front inside left door panel flushness not ok.,1
RWD,Serie,26-Jul-23,Right sun visor is not flush.,1,TR3ST7,93831337,CPA,Sun visor right,42U,,Right sun visor is not flush.,1
RWD,Serie,25-Jul-23,Rear left bumper end piece flushness not ok.,1,TR4ST6,93826006,CPA,Bumper end piece,42U,B,Rear left bumper end piece flushness not ok.,1
RWD,Serie,24-Jul-23,Lower back side of the seat back panel on the passenger bench seat is not flush.,1,,93821403,CPA,Passenger bench seat,42U,A,Lower back side of the seat back panel on the passenger bench seat is not flush.,1
RWD,Serie,24-Jul-23,Bottom front left air duct flushness not ok.,1,CHAST6,93829786,CPA,"Air deflector, left, radiator",42U,,Bottom front left air duct flushness not ok.,1
RWD,Serie,18-Jul-23,Lower right side instrument panel is not flush.,1,PACST3,93812949,CPA,"Lower section, instrument panel",42U,B,Lower right side instrument panel is not flush.,1
RWD,Serie,13-Jul-23,Bottom front right air dam flushness not ok.,1,CHAST6,93810539,CPA,"Air deflector, right, radiator",42U,,Bottom front right air dam flushness not ok.,1
RWD,Serie,17-Jul-23,Rear left bumper cover not flush.,1,TR4ST6,93802940,CPA,"Cover, left, bumper, rear",42U,,Rear left bumper cover not flush.,1
RWD,Serie,12-Jul-23,Front top center headliner cover not completely flushed,1,TR3ST7,93801371,CPA,"Stowage compartment, headliner",42U,,Front top center headliner cover not completely flushed,1
RWD,Serie,28-Jun-23,Front left floor mat flushness not ok.,1,TR4ST7,93801538,CPA,"Floor mat, front, left",42U,A,Front left floor mat flushness not ok.,1
RWD,Serie,28-Jun-23,Front left door entrance cover trim flushness not ok.,1,CHAST8,93801538,CPA,"Cover, entrance, front door, left",42U,A,Front left door entrance cover trim flushness not ok.,1
RWD,Serie,27-Jun-23,Bottom front left air duct flushness not ok.,1,CHAST6,93811586,CPA,"Air deflector, left, radiator",42U,,Bottom front left air duct flushness not ok.,1
RWD,Serie,24-Jun-23,Bottom front right air dam flushness not ok.,1,CHAST6,93779437,CPA,"Air deflector, right, radiator",42U,A,Bottom front right air dam flushness not ok.,1
RWD,Serie,16-Jun-23,Left front threshold is not flush with entrance step.,1,CHAST8,93782936,CPA,"Cover, entrance, front door, left",42U,,Left front threshold is not flush with entrance step.,1
RWD,Serie,21-Jun-23,Left front threshold is not flush with entrance step.,1,CHAST8,93783082,CPA,"Cover, entrance, front door, left",42U,C,Left front threshold is not flush with entrance step.,1
RWD,Serie,10-Mar-23,Left side of lower kick panel not flush.,1,TR3ST7,93668903,CPA,"Trim, lower, instrument panel",42U,,Left side of lower kick panel not flush.,1
RWD,Serie,10-Mar-23,Front left wheel well cover flushness not ok.,1,MARST5,93662880,CPA,"Cover, wheel well, front, left",42U,,Front left wheel well cover flushness not ok.,1
RWD,Serie,14-Apr-23,Bottom push pin on left side D-pillar trim not flush.,1,TR4ST7,93689628,CPA,"Trim, D-pillar",42U,B,Bottom push pin on left side D-pillar trim not flush.,1
RWD,Serie,3-Apr-23,Right screw on radiator grille cross threaded.,1,CHAST6,93694479,CPA,Radiator grille,42U,,Right screw on radiator grille cross threaded.,1
RWD,Serie,3-Apr-23,Bottom center instrument panel below cup holder not flush.,1,TR3ST7,93694479,CPA,"Lower section, instrument panel",42U,,Bottom center instrument panel below cup holder not flush.,1
RWD,Serie,13-Apr-23,Left interior D-pillar trim not flush below rear grab handle.,1,TR4ST7,93686673,CPA,"Trim, D-pillar",42U,A,Left interior D-pillar trim not flush below rear grab handle.,1
RWD,Serie,12-Apr-23,Front left triangle window seal not flush at bottom corner.,1,FDPA1,93704021,CPA,"Sealing frame/bonding, triangular side window, A-pillar, right",42U,A,Front left triangle window seal not flush at bottom corner.,1
RWD,Serie,31-Mar-23,Front left wheel well cover flushness not ok.,1,MARST5,93683118,CPA,"Wheel well, front, left",42U,B,Front left wheel well cover flushness not ok.,1
RWD,Serie,31-Mar-23,Top of front right door window seal not flush.,1,FDPA1,93683118,CPA,"Window guide seal, front door, right",42U,B,Top of front right door window seal not flush.,1
RWD,Serie,12-Apr-23,Bottom front right air dam flushness not ok.,1,CHAST6,93698512,CPA,"Air deflector, right, radiator",42U,A,Bottom front right air dam flushness not ok.,1
RWD,Serie,20-Apr-23,Bottom center instrument panel below cup holder not flush.,1,TR3ST7,93705911,CPA,"Lower section, instrument panel",42U,C,Bottom center instrument panel below cup holder not flush.,1
RWD,Serie,29-Mar-23,Left side of the lower instrument panel the maintenance cover is not flush.,1,SLAST5,93692036,CPA,"Trim, lower, instrument panel",42U,C,Left side of the lower instrument panel the maintenance cover is not flush.,1
RWD,Serie,28-Mar-23,Bottom front right air dam flushness not ok.,1,CHAST6,93689263,CPA,"Air deflector, right, radiator",42U,C,Bottom front right air dam flushness not ok.,1
RWD,Serie,19-Apr-23,Bottom front left air duct flushness not ok.,1,CHAST6,93721371,CPA,"Air deflector, left, radiator",42U,A,Bottom front left air duct flushness not ok.,1
RWD,Serie,27-Mar-23,Parking brake cable grommet not installed properly to underbody of van.,1,TR2ST7,93690329,CPA,"Grommet, brake cable",42U,,Parking brake cable grommet not installed properly to underbody of van.,1
RWD,Serie,25-Mar-23,Parking brake cable grommet not installed properly to underbody of van.,1,TR2ST7,93688364,CPA,"Grommet, brake cable",42U,C,Parking brake cable grommet not installed properly to underbody of van.,1
RWD,Serie,24-Mar-23,Right side fog light cover is not flush with the bumper.,1,CHAST6,93677235,CPA,"Cover, fog lamp",42U,C,Right side fog light cover is not flush with the bumper.,1
RWD,Serie,24-Mar-23,Bottom front right air dam flushness not ok.,1,CHAST6,93673812,CPA,"Air deflector, right, radiator",42U,C,Bottom front right air dam flushness not ok.,1
RWD,Serie,17-Apr-23,Bottom front right air dam flushness not ok.,1,CHAST6,93715043,CPA,"Air deflector, right, radiator",42U,C,Bottom front right air dam flushness not ok.,1
RWD,Serie,4-Apr-23,Bottom front right air dam flushness not ok.,1,CHAST6,93699676,CPA,"Air deflector, right, radiator",42U,C,Bottom front right air dam flushness not ok.,1
RWD,Serie,24-Mar-23,Push button switch for electric sliding door not flush with B-pillar.,1,TR4ST7,93680635,CPA,"Sliding door, right",42U,,Push button switch for electric sliding door not flush with B-pillar.,1
RWD,Serie,4-Apr-23,Left side of the lower instrument panel the maintenance cover is not flush.,1,SLAST5,93702223,CPA,"Trim, lower, instrument panel",42U,C,Left side of the lower instrument panel the maintenance cover is not flush.,1
RWD,Serie,20-May-23,Right side  rear bumper push pin not flush.,1,TR4ST6,93752889,CPA,"Plastic trim, rear bumper",42U,B,Right side  rear bumper push pin not flush.,1
RWD,Serie,8-May-23,Right side of rain sensor cover flushness not ok.,1,TR4ST8,93741726,CPA,"Control unit, rain sensor",42U,,Right side of rain sensor cover flushness not ok.,1
RWD,Serie,5-May-23,Bottom front right air dam flushness not ok.,1,CHAST6,93730117,CPA,"Air deflector, right, radiator",42U,,Bottom front right air dam flushness not ok.,1
RWD,Serie,25-Apr-23,Front left wheel well cover flushness not ok.,1,MARST5,93717890,CPA,"Wheel well, front, left",42U,C,Front left wheel well cover flushness not ok.,1
RWD,Serie,2-Jun-23,Left side hood buffer grommet is not flush.,1,TR2ST1,93759967,CPA,"Hood support, engine hood",42U,,Left side hood buffer grommet is not flush.,1
RWD,Serie,18-May-23,Front left wheel well cover flushness not ok.,1,MARST5,93755155,CPA,"Wheel well, front, left",42U,,Front left wheel well cover flushness not ok.,1
RWD,Serie,18-May-23,Bottom front left air duct flushness not ok.,1,CHAST6,93755155,CPA,"Air deflector, left, radiator",42U,,Bottom front left air duct flushness not ok.,1
RWD,Serie,3-May-23,Bottom front right air dam flushness not ok.,1,CHAST6,93727824,CPA,"Air deflector, right, radiator",42U,A,Bottom front right air dam flushness not ok.,1
RWD,Serie,31-May-23,Bottom of sliding door interior trim panel is not flush.,1,SDPA,93772648,CPA,"Door trim, sliding door, right",42U,B,Bottom of sliding door interior trim panel is not flush.,1
RWD,Serie,31-May-23,Push pin on the lower left panel of rear door not pushed in all the way,1,TR1ST8,93752228,CPA,"Rear-end door, left, inside",42U,A,Push pin on the lower left panel of rear door not pushed in all the way,1
RWD,Serie,30-May-23,Right side center fan vent not flush with instrument panel.,1,PACST4,93770089,CPA,"Fan vent, instrument panel, center",42U,A,Right side center fan vent not flush with instrument panel.,1
RWD,Serie,30-May-23,Front right side of the rain sensor cover is not flush.,1,TR4ST8,93770089,CPA,"Control unit, rain sensor",42U,A,Front right side of the rain sensor cover is not flush.,1
RWD,Serie,15-May-23,Bottom front left air duct flushness not ok.,1,CHAST6,93744399,CPA,"Air deflector, left, radiator",42U,A,Bottom front left air duct flushness not ok.,1
RWD,Serie,2-May-23,Anti-theft sensor rear cargo roof flushness not ok.,1,TR3ST6,93693810,CPA,"Interior protection sensor, rear",42U,,Anti-theft sensor rear cargo roof flushness not ok.,1
RWD,Serie,9-Jun-23,Bottom front right air dam flushness not ok.,1,CHAST6,93797322,CPA,"Air deflector, right, radiator",42U,C,Bottom front right air dam flushness not ok.,1
RWD,Serie,13-May-23,Front left storage lid flushness not ok.,1,PACST4,93742575,CPA,"Stowage compartment, left, instrument panel",42U,B,Front left storage lid flushness not ok.,1
RWD,Serie,13-May-23,Bottom front left air duct flushness not ok.,1,CHAST6,93739043,CPA,"Air deflector, left, radiator",42U,,Bottom front left air duct flushness not ok.,1
RWD,Serie,1-May-23,Bottom front right air dam flushness not ok.,1,CHAST6,93726008,CPA,"Air deflector, right, radiator",42U,B,Bottom front right air dam flushness not ok.,1
RWD,Serie,9-Jun-23,Bottom front left air duct flushness not ok.,1,CHAST6,93775146,CPA,"Air deflector, left, radiator",42U,B,Bottom front left air duct flushness not ok.,1
RWD,Serie,7-Jun-23,Roof A/C cover not flush on leftt side.,1,OPTST1,93768315,CPA,"Cover, roof air conditioning",42U,B,Roof A/C cover not flush on leftt side.,1
RWD,Serie,11-May-23,Upper rubber hood seal on right side of engine compartment flushness not ok.,1,TR3ST4,93744811,CPA,"Seal, engine hood",42U,C,Upper rubber hood seal on right side of engine compartment flushness not ok.,1
RWD,Serie,11-May-23,Front right transition cover at the threshold molding flushness NOK.,1,CHAST8,93744811,CPA,"Cover, entrance, front door, right",42U,C,Front right transition cover at the threshold molding flushness NOK.,1
RWD,Serie,7-Jun-23,Bottom front right air dam flushness not ok.,1,CHAST6,93760734,CPA,"Air deflector, right, radiator",42U,B,Bottom front right air dam flushness not ok.,1
RWD,Serie,24-May-23,Bottom front left air duct flushness not ok.,1,CHAST6,93764496,CPA,"Air deflector, left, radiator",42U,,Bottom front left air duct flushness not ok.,1
RWD,Serie,23-May-23,Left interior D-pillar trim not flush with sidewall panel.,1,TR4ST7,93771368,CPA,"Trim, D-pillar",42U,C,Left interior D-pillar trim not flush with sidewall panel.,1
RWD,Serie,11-May-23,Underbody wiring harness boot not flush.,1,TR2ST7,93744811,CPA,wiring harness,42U,C,Underbody wiring harness boot not flush.,1
RWD,Serie,22-May-23,Right side  rear bumper push pins offset.,1,TR4ST6,93754513,CPA,"Plastic trim, rear bumper",42U,C,Right side  rear bumper push pins offset.,1
RWD,Serie,10-May-23,Front left wheel well cover flushness not ok.,1,MARST5,93751808,CPA,"Wheel well, front, left",42U,C,Front left wheel well cover flushness not ok.,1
RWD,Serie,27-Apr-23,Front right window seal flushness not ok.,1,FDPA1,93723526,CPA,"Window seal, side window, front door, right",42U,C,Front right window seal flushness not ok.,1
RWD,Serie,22-May-23,Bottom front left air duct flushness not ok.,1,CHAST6,93752715,CPA,"Air deflector, left, radiator",42U,,Bottom front left air duct flushness not ok.,1
RWD,Serie,26-Apr-23,Underbody rear right sidewall stop plug is not flush.,1,TR2ST7,93715175,CPA,"Underride guard, side, right",42U,A,Underbody rear right sidewall stop plug is not flush.,1
RWD,Serie,5-Jun-23,Front inside left door panel cap not flush.,1,FDPA3,93772259,CPA,"Door trim, front door, left",42U,,Front inside left door panel cap not flush.,1
RWD,Serie,5-Jun-23,Front left wheel well cover flushness not ok.,1,MARST5,93761716,CPA,"Wheel well, front, left",42U,B,Front left wheel well cover flushness not ok.,1
RWD,Serie,5-Jun-23,Bottom front left air duct flushness not ok.,1,CHAST6,93761716,CPA,"Air deflector, left, radiator",42U,B,Bottom front left air duct flushness not ok.,1
RWD,Serie,20-Oct-22,Rear right partition wall screws not flush with partition wall.,1,TR3ST6,93554731,CPA,"Partition wall, cargo area",42U,,Rear right partition wall screws not flush with partition wall.,1
RWD,Serie,21-Sep-22,Bottom front right air dam flushness not ok.,1,CHAST6,93524312,CPA,"Air deflector, right, radiator",42U,,Bottom front right air dam flushness not ok.,1
RWD,Serie,19-Oct-22,Right side rear bumper push pin not flush.,1,TR4ST6,93559318,CPA,"Plastic trim, rear bumper",42U,,Right side  rear bumper push pin not flush.,1
RWD,Serie,19-Sep-22,Bottom front right air dam flushness not ok.,1,CHAST6,93518231,CPA,"Air deflector, right, radiator",42U,,Bottom front right air dam flushness not ok.,1
RWD,Serie,18-Oct-22,Bottom front right air dam flushness not ok.,1,CHAST6,93533354,CPA,"Air deflector, right, radiator",42U,,Bottom front right air dam flushness not ok.,1
RWD,Serie,15-Oct-22,Rear inside left sidewall panel screw not flush with panel.,1,TR3ST4,93557254,CPA,"Panel, sidewall, left",42U,,Rear inside left sidewall panel screw not flush with panel.,1
RWD,Serie,15-Oct-22,Rear right partition wall screws not flush with partition wall.,1,TR3ST6,93557254,CPA,"Partition wall, cargo area",42U,,Rear right partition wall screws not flush with partition wall.,1
RWD,Serie,15-Oct-22,Bottom front right air dam flushness not ok.,1,CHAST6,93563443,CPA,"Air deflector, right, radiator",42U,,Bottom front right air dam flushness not ok.,1
RWD,Serie,1-Nov-22,Bottom of E-brake cover not assembled correctly.,1,TR3ST3,93570455,CPA,"Cover, hand brake lever",42U,,Bottom of E-brake cover not assembled correctly.,1
RWD,Serie,28-Oct-22,Lower sliding door panel not flush.,1,TR3ST2,93555647,CPA,"Door trim, sliding door, right",42U,,Lower sliding door panel not flush.,1
RWD,Serie,4-Feb-23,Rear left bumper end piece flushness not ok.,1,TR4ST6,93622686,CPA,Bumper end piece,42U,A,Rear left bumper end piece flushness not ok.,1
RWD,Serie,4-Feb-23,Front left cup hold not clipped properly causing it to not be flush.,1,PACST3,93622686,CPA,"Cup holder, front",42U,A,Front left cup hold not clipped properly causing it to not be flush.,1
RWD,Serie,2-Feb-23,Right side of radio trim not flush.,1,PACST4,93626679,CPA,"Front plate, radio sets",42U,C,Right side of radio trim not flush.,1
RWD,Serie,6-Mar-23,Front left wheel well cover flushness not ok.,1,CHAST6,93665008,CPA,"Cover, wheel well, front, left",42U,C,Front left wheel well cover flushness not ok.,1
RWD,Serie,4-Mar-23,Front left wheel well cover flushness not ok.,1,MARST5,93662039,CPA,"Wheel well, front, left",42U,B,Front left wheel well cover flushness not ok.,1
RWD,Serie,4-Mar-23,Right side of radio trim not flush.,1,PACST4,93655561,CPA,"Front plate, radio sets",42U,C,Right side of radio trim not flush.,1
RWD,Serie,4-Mar-23,Front left side vent on instrument panel not flush.,1,TR3ST7,93655561,CPA,"Side air vent, left, instrument panel",42U,C,Front left side vent on instrument panel not flush.,1
RWD,Serie,30-Nov-22,Bottom front left air duct flushness not ok.,1,CHAST6,93605947,CPA,"Air deflector, left, radiator",42U,,Bottom front left air duct flushness not ok.,1
RWD,Serie,30-Jan-23,Right side of radio trim not flush.,1,PACST4,93632925,CPA,"Front plate, radio sets",42U,,Right side of radio trim not flush.,1
RWD,Serie,26-Jan-23,Right side of radio trim not flush.,1,PACST4,93614121,CPA,"Front plate, radio sets",42U,A,Right side of radio trim not flush.,1
RWD,Serie,23-Nov-22,Bottom front left air duct flushness not ok.,1,CHAST6,93590099,CPA,"Air deflector, left, radiator",42U,,Bottom front left air duct flushness not ok.,1
RWD,Serie,2-Mar-23,Parking brake cable grommet not installed properly to underbody of van.,1,CHAST1,93659209,CPA,"Grommet, brake cable",42U,B,Parking brake cable grommet not installed properly to underbody of van.,1
RWD,Serie,2-Mar-23,Front left wheel well cover flushness not ok.,1,CHAST6,93666022,CPA,"Cover, wheel well, front, left",42U,C,Front left wheel well cover flushness not ok.,1
RWD,Serie,2-Mar-23,Left side of rear bumper flushness not ok.,1,TR4ST6,93660017,CPA,"Plastic trim, rear bumper",42U,,Left side of rear bumper flushness not ok.,1
RWD,Serie,1-Mar-23,Front left wheel well cover flushness not ok.,1,CHAST6,93658862,CPA,"Cover, wheel well, front, left",42U,,Front left wheel well cover flushness not ok.,1
RWD,Serie,23-Jan-23,Lower left side of the rear bumper is not flush.,1,TR4ST6,93621738,CPA,"Cover, bumper rear lower",42U,,Lower left side of the rear bumper is not flush.,1
RWD,Serie,23-Jan-23,Rear right partition wall screws not flush with partition wall.,1,TR4ST3,93634855,CPA,"Partition wall, cargo area",42U,,Rear right partition wall screws not flush with partition wall.,1
RWD,Serie,20-Jan-23,Rear right partition wall screws not flush with partition wall.,1,TR3ST6,93611549,CPA,"Partition wall, cargo area",42U,,Rear right partition wall screws not flush with partition wall.,1
RWD,Serie,14-Dec-22,Bottom front left air duct flushness not ok.,1,CHAST6,93611341,CPA,"Air deflector, left, radiator",42U,,Bottom front left air duct flushness not ok.,1
RWD,Serie,7-Feb-23,Bottom front right air dam flushness not ok.,1,CHAST6,93640258,CPA,"Air deflector, right, radiator",42U,C,Bottom front right air dam flushness not ok.,1
RWD,Serie,7-Feb-23,Bottom front left air duct flushness not ok.,1,CHAST6,93640191,CPA,"Air deflector, left, radiator",42U,C,Bottom front left air duct flushness not ok.,1
RWD,Serie,6-Feb-23,Lower left side of the rear bumper is not flush.,1,TR4ST6,93628220,CPA,"Cover, bumper rear lower",42U,C,Lower left side of the rear bumper is not flush.,1
RWD,Serie,20-Aug-22,Window seal on bottom corner of front left door not flush.,1,FDPA1,93482131,CPA,"Window guide seal, front door, left",42U,,Window seal on bottom corner of front left door not flush.,1
RWD,Serie,10-Aug-22,Right side of instrument panel not flush with lower storage compartment.,1,PACST3,93476687,CPA,Instrument panel,42U,,Right side of instrument panel not flush with lower storage compartment.,1
RWD,Serie,25-Aug-22,Window seal on top corner next to triangle window on front left door flushness not ok.,1,FDPA1,93485811,CPA,"Window guide seal, front door, left",42U,,Window seal on top corner next to triangle window on front left door flushness not ok.,1
RWD,Serie,9-Oct-23,Def hose on the right side of the underbody is not connected.,3,CHAST2,93901692,CPA,AdBlue(R),C77,B,Def hose on the right side of the underbody is not connected.,1
RWD,Serie,6-Oct-23,Def hose on the right side of the underbody is not connected.,3,CHAST2,93911600,CPA,AdBlue(R),C77,B,Def hose on the right side of the underbody is not connected.,1
RWD,Serie,5-Oct-23,Def hose on the right side of the underbody is not connected.,3,CHAST2,93910495,CPA,AdBlue(R),C77,B,Def hose on the right side of the underbody is not connected.,1
RWD,Serie,27-Sep-23,Def hose on the right side of the underbody is not connected.,3,CHAST2,93906246,CPA,AdBlue(R),C77,B,Def hose on the right side of the underbody is not connected.,1
RWD,Serie,26-Sep-23,Bottom right brake wear and RPM sensor wire harness not clipped to front axle.,3,FAAST1,93878593,CPA,"Brake wear indicator, front axle, right",C77,C,Bottom right brake wear and RPM sensor wire harness not clipped to front axle.,1
RWD,Serie,4-Oct-23,Def hose on the right side of the underbody is not connected.,3,CHAST2,93910099,CPA,AdBlue(R),C77,B,Def hose on the right side of the underbody is not connected.,1
RWD,Serie,2-Oct-23,Right side wiring harness at the coolant reservoir not secured.,3,CHAST5,93914687,CPA,wiring harness,C77,C,Right side wiring harness at the coolant reservoir not secured.,1
RWD,Serie,29-Sep-23,Rear left parktronic wiring harness not secured at rear bumper.,3,TR4ST6,93880169,CPA,"Wiring harness, rear, PARKTRONIC",C77,B,Rear left parktronic wiring harness not secured at rear bumper.,1
RWD,Serie,25-Sep-23,Underbody wiring harness not secured properly at the frame.,3,TR2ST7,93900942,CPA,Rear wiring harness,C77,C,Underbody wiring harness not secured properly at the frame.,1
RWD,Serie,6-Sep-23,Rear inside left wireway cover not secured.,3,TR3ST1,93858298,CPA,Trunk/cargo area,C77,C,Rear inside left wireway cover not secured.,1
RWD,Serie,17-Aug-23,Right side wiring harness at the coolant reservoir not secured.,3,CHAST5,93847721,CPA,wiring harness,C77,C,Right side wiring harness at the coolant reservoir not secured.,1
RWD,Serie,17-Aug-23,Rear left parktronic wiring harness not secured at rear bumper.,3,TR4ST6,93847721,CPA,"Wiring harness, rear, PARKTRONIC",C77,C,Rear left parktronic wiring harness not secured at rear bumper.,1
RWD,Serie,16-Aug-23,Differential pressure sensor wiring harness not secured in engine compartment .,3,SLAST5,93845782,CPA,wiring harness,C77,C,Differential pressure sensor wiring harness not secured in engine compartment .,1
RWD,Serie,22-Aug-23,ECU harness gator clip not secured to engine bracket.,3,CHAST4,93850642,CPA,Engine harness,C77,C,ECU harness gator clip not secured to engine bracket.,1
RWD,Serie,14-Aug-23,Right side wiring harness at the coolant reservoir not secured.,3,CHAST5,93840445,CPA,wiring harness,C77,B,Right side wiring harness at the coolant reservoir not secured.,1
RWD,Serie,14-Aug-23,Cannon plug wire not secured properly at underbody.,3,CHAST9,93840445,CPA,Engine harness,C77,B,Cannon plug wire not secured properly at underbody.,1
RWD,Serie,7-Aug-23,ECU harness gator clip not secured to engine bracket.,3,CHAST4,93824696,CPA,Engine harness,C77,C,ECU harness gator clip not secured to engine bracket.,1
RWD,Serie,31-Jul-23,Rear left brake bleeder cap not secured.,3,DYNST1,93817054,CPA,"Cap, bleed screw, brake caliper, left, rear axle",C77,A,Rear left brake bleeder cap not secured.,1
RWD,Serie,27-Jun-23,ECU harness gator clip not secured to engine bracket.,3,CHAST4,93803542,CPA,Engine harness,C77,C,ECU harness gator clip not secured to engine bracket.,1
RWD,Serie,23-Jun-23,Fuel water separator not secured in the engine compartment.,3,EPAST4,93783165,CPA,Engine compartment,C77,A,Fuel water separator not secured in the engine compartment.,1
RWD,Serie,21-Jun-23,Front fuel not secured to underbody brackets in multiple areas.,3,TR2ST8,93783082,CPA,Fuel line,C77,C,Front fuel not secured to underbody brackets in multiple areas.,1
RWD,Serie,21-Jun-23,Rear brake line not secured in clip on underbody.,3,TR2ST7,93789089,CPA,Brake line rear (hydraulics),C77,A,Rear brake line not secured in clip on underbody.,1
RWD,Serie,13-Apr-23,Wiring harness for the coolant resevoir is not clipped into the bracket.,3,CHAST5,93705739,CPA,wiring harness,C77,C,Wiring harness for the coolant resevoir is not clipped into the bracket.,1
RWD,Serie,13-Apr-23,Fuel evap hose is not routed correctly.,3,CHAST2,93705739,CPA,"Fuel hose/fuel line, auxiliary fuel tank",C77,C,Fuel evap hose is not routed correctly.,1
RWD,Serie,21-Mar-23,Fan plug wiring harness not secured to FEM.,3,CHAST5,93683183,CPA,Fan,C77,C,Fan plug wiring harness not secured to FEM.,1
RWD,Serie,21-Mar-23,Bottom of rear right upper door panel not clipped in properly.,3,TR4ST8,93683183,CPA,"Door trim, rear-end door, right",C77,C,Bottom of rear right upper door panel not clipped in properly.,1
RWD,Serie,12-Apr-23,MMBOX USB port cover not flush at instrument panel.,3,PACST4,93698512,CPA,Socket instrument panel,C77,A,MMBOX USB port cover not flush at instrument panel.,1
RWD,Serie,30-Mar-23,LED light strip not clipped into bracket on right side.,3,TR1ST7,93692218,CPA,"Light source, trunk lamp/cargo area lamp",C77,C,LED light strip not clipped into bracket on right side.,1
RWD,Serie,30-Mar-23,All wireway covers along cargo area sidewall and rear entrance not secured.,3,TR3ST1,93692218,CPA,Trunk/cargo area,C77,C,All wireway covers along cargo area sidewall and rear entrance not secured.,1
RWD,Serie,17-Mar-23,Differential pressure sensor to NOx sensor wire not secured in clip in the engine compartment.,3,EPAST4,93677573,CPA,NOx sensor,C77,C,Differential pressure sensor to NOx sensor wire not secured in clip in the engine compartment.,1
RWD,Serie,10-Apr-23,Bottom DEF line along right side frame rail not secured in the clip.,3,CHAST1,93697878,CPA,"Line, AdBlue(R)",C77,C,Bottom DEF line along right side frame rail not secured in the clip.,1
RWD,Serie,27-Mar-23,Circulation pump and temperature sensor wires not secured to underbody frame.,3,CHAST5,93689917,CPA,"Wiring harness, engine compartment, left",C77,A,Circulation pump and temperature sensor wires not secured to underbody frame.,1
RWD,Serie,14-Mar-23,Right side of engine bay upstream nox sensor is not clipped in.,3,SLAST4,93673291,CPA,NOx sensor upstream of catalytic converter,C77,C,Right side of engine bay upstream nox sensor is not clipped in.,1
RWD,Serie,14-Mar-23,Left side rear door wire harness boot is not secured.,3,TR1ST5,93673291,CPA,"Boot, wiring harness, left, trunk lid/rear-end door/liftgate",C77,C,Left side rear door wire harness boot is not secured.,1
RWD,Serie,25-Mar-23,Wiring harness in engine compartment not attached properly at the frame.,3,TR2ST4,93685741,CPA,Engine harness,C77,B,Wiring harness in engine compartment not attached properly at the frame.,1
RWD,Serie,25-Mar-23,LED light strip wiring not clipped properly behind light.,3,TR1ST7,93685741,CPA,"Light source, trunk lamp/cargo area lamp",C77,B,LED light strip wiring not clipped properly behind light.,1
RWD,Serie,20-May-23,Fuel tank wiring harness not secured.,3,CHAST2,93752889,CPA,"ESV, sub wiring harness, fuel pump",C77,B,Fuel tank wiring harness not secured.,1
RWD,Serie,25-Apr-23,Horn wiring harness not secured to grill.,3,CHAST6,93722890,CPA,K/Z* Horn,C77,A,Horn wiring harness not secured to grill.,1
RWD,Serie,2-Jun-23,Transfer case module wiring harness not secured.,3,MARST5,93765444,CPA,"Wiring harness, transfer case",C77,C,Transfer case module wiring harness not secured.,1
RWD,Serie,25-Apr-23,Front right transmission line not secured in clip.,3,CHAST4,93722890,CPA,Automatic transmission oil pipes,C77,A,Front right transmission line not secured in clip.,1
RWD,Serie,2-Jun-23,Right hood vent not fully secure.,3,TR2ST1,93765444,CPA,"Vent grille, right, engine hood",C77,C,Right hood vent not fully secure.,1
RWD,Serie,4-May-23,Transfer case module wiring harness not secured.,3,MARST5,93731693,CPA,"Wiring harness, transfer case",C77,A,Transfer case module wiring harness not secured.,1
RWD,Serie,13-Jun-23,Transfer case module wiring harness not secured.,3,Supply,93782043,CPA,"Wiring harness, transfer case",C77,C,Transfer case module wiring harness not secured.,1
RWD,Serie,13-Jun-23,Front right Rpm sensor and brake wear sensor not attached to strut bracket.,3,CHAST9,93782043,CPA,"Rpm sensor, right, front axle",C77,C,Front right Rpm sensor and brake wear sensor not attached to strut bracket.,1
RWD,Serie,19-May-23,Wiring harness for the coolant resevoir is not clipped into the bracket.,3,CHAST5,93749059,CPA,wiring harness,C77,B,Wiring harness for the coolant resevoir is not clipped into the bracket.,1
RWD,Serie,12-Jun-23,Front left triangular window cover not secured.,3,TR4ST9,93779627,CPA,"Cover, mirror triangle, left",C77,B,Front left triangular window cover not secured.,1
